Spot price,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
33.63,0.0,1.0,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
31.03,0.25881904510252074,0.9659258262890684,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
28.23,0.5,0.8660254037844387,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
27.52,0.7071067811865476,0.7071067811865476,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
25.44,0.8660254037844386,0.5000000000000001,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
23.12,0.9659258262890684,0.25881904510252074,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
25.73,1.0,6.123233995736766e-17,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
27.55,0.9659258262890684,-0.25881904510252063,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
29.61,0.8660254037844387,-0.4999999999999998,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
28.68,0.7071067811865476,-0.7071067811865475,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
26.42,0.5,-0.8660254037844387,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
25.32,0.258819045102521,-0.9659258262890682,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
26.72,1.2246467991473532e-16,-1.0,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
22.41,-0.2588190451025208,-0.9659258262890684,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
18.34,-0.4999999999999997,-0.8660254037844388,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
24.73,-0.7071067811865471,-0.7071067811865479,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
27.57,-0.8660254037844385,-0.5000000000000004,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
29.09,-0.9659258262890684,-0.25881904510252063,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
36.9,-1.0,-1.8369701987210294e-16,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
40.15,-0.9659258262890684,0.2588190451025203,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
41.71,-0.8660254037844386,0.5000000000000001,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
40.86,-0.7071067811865477,0.7071067811865474,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
40.36,-0.5000000000000004,0.8660254037844384,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
37.6,-0.2588190451025216,0.965925826289068,0.2079116908177593,0.9781476007338056,1.2246467991473532e-16,-1.0
28.52,0.0,1.0,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
28.99,0.25881904510252074,0.9659258262890684,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
29.07,0.5,0.8660254037844387,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
27.84,0.7071067811865476,0.7071067811865476,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
27.56,0.8660254037844386,0.5000000000000001,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
24.97,0.9659258262890684,0.25881904510252074,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
24.51,1.0,6.123233995736766e-17,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
23.31,0.9659258262890684,-0.25881904510252063,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
25.22,0.8660254037844387,-0.4999999999999998,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
19.38,0.7071067811865476,-0.7071067811865475,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
11.76,0.5,-0.8660254037844387,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
11.9,0.258819045102521,-0.9659258262890682,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
8.91,1.2246467991473532e-16,-1.0,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
3.5,-0.2588190451025208,-0.9659258262890684,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
9.02,-0.4999999999999997,-0.8660254037844388,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
0.48,-0.7071067811865471,-0.7071067811865479,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
3.5,-0.8660254037844385,-0.5000000000000004,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
23.49,-0.9659258262890684,-0.25881904510252063,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
31.24,-1.0,-1.8369701987210294e-16,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
37.41,-0.9659258262890684,0.2588190451025203,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
38.13,-0.8660254037844386,0.5000000000000001,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
37.14,-0.7071067811865477,0.7071067811865474,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
37.12,-0.5000000000000004,0.8660254037844384,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
29.85,-0.2588190451025216,0.965925826289068,0.40673664307580015,0.9135454576426008,1.2246467991473532e-16,-1.0
